name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,3659,40440229,,,,,,,-122.7346674,45.5809091,,,
,3660,40440232,,,,,,,-122.7344704,45.581291,,,
,3661,40440235,,,,,,,-122.7337199,45.5827446,,,
,3662,40440238,,,,,,,-122.7334889,45.5831938,,,
,3663,40440241,,,,,,,-122.733095,45.5839529,,,
,3664,2142147478,,,,,,,-122.7330248,45.5840883,,,
,3665,40440244,,,,,,,-122.7326991,45.5847159,,,
,3666,5567282609,,,,,,,-122.732444,45.5852181,,,
,3667,40440246,,,,,,,-122.7323063,45.585489,,,
,3668,40440249,,,,,,,-122.7321049,45.5858758,,,
,3669,40440739,,,,,,,-122.7560948,45.5901432,,,
,3670,3801647089,,,,,,,-122.7563374,45.5903894,,,
,3671,3801647090,,,,,,,-122.7564517,45.5905054,,,
,3672,3801647092,,,,,,,-122.7565707,45.5906262,,,
,3673,6816257554,,,,,,,-122.7565997,45.5906557,,,
,3674,40440742,,,,,,,-122.7566733,45.5907314,,,
,3675,40440769,,,,,,,-122.7490227,45.5875692,,,
,3676,40440771,,,,,,,-122.7496202,45.5877499,,,
,3677,7207629806,,,,,,,-122.7510306,45.5882054,,,
,3678,8899905313,,,,,,,-122.7510777,45.5882208,,,
,3679,40440773,traffic_signals,,signal,,,,-122.7514703,45.5883453,,,
,3680,40440785,,,,,,,-122.7394919,45.5849409,,,
,3681,40440786,,,,,,,-122.7411415,45.5853332,,,
,3682,40440790,,,,,,,-122.7428447,45.5857338,,,
,3683,2142156885,,,,,,,-122.7446776,45.5861695,,,
,3684,40440894,,,,,,,-122.763426,45.54213,,,
,3685,40440896,turning_circle,,,,,,-122.763149,45.541846,,,
,3686,40440900,,,,,,,-122.7191339,45.5411793,,,
,3687,7010527615,,,,,,,-122.71898,45.5414348,,,
,3688,7010527620,,,,,,,-122.7189775,45.5420007,,,
,3689,7100660325,,,,,,,-122.7189773,45.5420424,,,
,3690,40440917,,,,,,,-122.7189755,45.5424496,,,
,3691,4151813869,,,,,,,-122.7189721,45.5432216,,,
,3692,7241598960,,,,,,,-122.7189717,45.5432919,,,
,3693,40440918,,,,,,,-122.7189709,45.5434811,,,
,3694,40441034,,,,,,,-122.67693,45.6037068,,,
,3695,7222521952,,,,,,,-122.6760611,45.6041587,,,
,3696,1386658060,,,,,,,-122.6745638,45.603729,,,
,3697,40441071,,,,,,,-122.6745525,45.6036649,,,
,3698,40441179,,,,,,,-122.7726232,45.5513876,,,
